client_id,first_name,last_name,dob,gender,profession,dismissal_date,has_kids,education,email,phone,last_called,is_married
ddd9be62-ca04-43f5-8607-32cb0ca1f668,Lori,West,1983-07-18,0,"Horticulturist, amenity",0,secondary,frenchtim@adams.com,+1-085-789-2306x88127,2019-07-12,1
adb323f9-6713-4f1d-a7aa-9784d0df6255,Aaron,Gillespie,1960-03-09,1,"Therapist, occupational",0,university,joseph92@gmail.com,(352)706-2837,2019-02-19,1
28bdd936-047f-4fa6-b126-354b02a47e87,Jennifer,Caldwell,1993-06-11,0,Dance movement psychotherapist,0,secondary,pberry@gmail.com,+1-519-152-3004x187,2019-08-08,0
23ec8b28-6fac-4c6d-908b-324af19d4536,Emily,Mcconnell,1976-05-29,0,Contracting civil engineer,1,university,sara42@hotmail.com,001-176-937-7186,2019-08-24,0
3659c024-5532-4d95-9aa5-314c37aa76b0,Dawn,Saunders,1955-03-08,0,Publishing copy,0,secondary,vdixon@hotmail.com,+1-195-838-6685x549,2019-07-01,1
38ef7605-07bb-4ab4-a714-bbc613be3320,Daniel,Mcgrath,1977-02-19,1,"Therapist, sports",1,secondary,michael52@krause-dunlap.org,729-411-8383x20182,2019-05-03,0
8fee9ccf-5592-492f-a0b6-74b7d4894fd4,Christopher,Weeks,1965-07-19,1,Merchant navy officer,1,secondary,peggywolf@gmail.com,469.066.1973x889,2019-03-10,0
e3ec179d-5b5f-46e5-9c33-cb41ba7f03ef,Jennifer,Macias,1964-04-19,0,Osteopath,1,primary,pescobar@carter.com,001-736-580-9604,2019-02-27,0
124e36d9-c83b-41a9-bce6-3d8fd43ead2a,Joseph,Miller,1978-07-03,1,Financial controller,1,secondary,eric74@hotmail.com,(840)191-5210x49001,2019-07-09,1
73539ae4-0b3c-4f8e-8f71-4175d47daeda,Julia,Gonzalez,1980-12-17,0,Interpreter,1,primary,okaufman@hotmail.com,001-290-180-6287,2019-06-18,0
